ID,상품명,바코드,입수,납품가,원코드,위치정보
30646002,마사지때밀이 타올2매[송월],8801346000158 ,1,1309 ,8801346000158 ,1
10139058,바이오킵스 직3호,8801775715036 ,24,2992 ,8801775715036 ,1
51199004,롤백30*40(무지),8809178163744 ,10,6133 ,8809178163744 ,1
7205031,다목적수세미AL173(3+2),8801230102913 ,30,2850 ,8801230102913 ,1
51741005,태화고무장갑 단보,8801179000110 ,100,1540 ,8801179000110 ,1
51699276,포장용기 DL-204(상),0 ,600,76 ,0 ,1
91599154,DR-100(검정)(초밥용기)(몸체만),0 ,400,160 ,0 ,1
5166114,태방 406-3N 체리300g,8809147243484 ,800,117 ,8809147243484 ,1
51145008,크린롤백17*25*500매,8809233203231 ,20,4686 ,8801252025146 ,1
7499010,부직포행주(3입),8809178163799 ,1,946 ,8809404600449 ,1
51698020,붕어접시 소,8809178163294 ,600,111 ,8809178163294 ,1
52199047,대경 테이크아웃종이컵(390ml),8809436052858 ,40,1056 ,8809436052858 ,1
91599046,과일투명창 c44,0 ,1,64 ,0 ,1
91799120,화리KF94 새부리형마스크,8804870003824 ,1,385 ,8809755190064 ,1
30899012,세면타올6매(만승),8806382122291 ,9,13420 ,8806382122291 ,1
51345004,크린장갑 손목긴장갑,8809243331092 ,50,1973 ,8801252042310 ,1
99916228,명진 기모고무장갑,8802739471494 ,60,1980 ,8802739471494 ,1
91699001,노런트랩,8803583003046 ,60,1860 ,8809010518411 ,1
51889006,오런 멀티장갑(대) 1p,8809013611522 ,1,1001 ,8809013611522 ,1
51889020,오런 에어폼라이트장갑L,8809013611751 ,1,2350 ,8809013611751 ,1
30125001,록타이트401 20g,8809169792403 ,1,3562 ,8809169792403 ,1
30501006,해피존빨래집게(일반)-140,8809064170528 ,20,1480 ,8809064170528 ,1
7499016,극세사 바둑크리너1p,8809115487148 ,1,1485 ,8809115487148 ,1
51445007,지퍼백30*35*15(특대),8806382127111 ,30,3597 ,8801252029328 ,1
62199006,점보롤(4입),8809241928218 ,4,7720 ,8809241928218 ,1
28299095,진공필름0.5 250*350,0 ,1,85 ,0 ,1
52199029,알뜰종이컵(BOX),8806382121829 ,1,9900 ,8806382137301 ,1
31199011,이지데이 OPP테이프 48*40,8801230131425 ,50,880 ,8801222100699 ,1
